[18-11-23 14:52:48 59.930590] , alkaline, Small Load, 3.09, Large Load, 3.02
[18-11-23 14:53:48 59.929729] , alkaline, Small Load, 3.09, Large Load, 3.01
[18-11-23 14:54:48 59.929798] , alkaline, Small Load, 3.09, Large Load, 3.00
[18-11-23 14:55:48 59.930935] , alkaline, Small Load, 3.09, Large Load, 3.00
[18-11-23 14:56:48 59.929927] , alkaline, Small Load, 3.09, Large Load, 2.99
[18-11-23 14:57:47 59.930080] , alkaline, Small Load, 3.09, Large Load, 2.99
[18-11-23 14:58:47 59.931329] , alkaline, Small Load, 3.09, Large Load, 2.98
[18-11-23 14:59:47 59.931074] , alkaline, Small Load, 3.08, Large Load, 2.98
[18-11-23 15:00:47 59.930502] , alkaline, Small Load, 3.08, Large Load, 2.98
[18-11-23 15:01:47 59.930457] , alkaline, Small Load, 3.08, Large Load, 2.97
[18-11-23 15:02:47 59.931197] , alkaline, Small Load, 3.08, Large Load, 2.97
[18-11-23 15:03:47 59.929409] , alkaline, Small Load, 3.08, Large Load, 2.96
[18-11-23 15:04:47 59.931405] , alkaline, Small Load, 3.08, Large Load, 2.96
[18-11-23 15:05:47 59.931393] , alkaline, Small Load, 3.08, Large Load, 2.96
[18-11-23 15:06:47 59.929464] , alkaline, Small Load, 3.08, Large Load, 2.95
[18-11-23 15:07:47 59.931442] , alkaline, Small Load, 3.08, Large Load, 2.95
[18-11-23 15:08:47 59.931507] , alkaline, Small Load, 3.08, Large Load, 2.95
[18-11-23 15:09:47 59.929682] , alkaline, Small Load, 3.08, Large Load, 2.95
[18-11-23 15:10:47 59.931388] , alkaline, Small Load, 3.08, Large Load, 2.95
[18-11-23 15:11:46 59.931662] , alkaline, Small Load, 3.08, Large Load, 2.94
[18-11-23 15:12:46 59.929200] , alkaline, Small Load, 3.08, Large Load, 2.94
[18-11-23 15:13:46 59.931770] , alkaline, Small Load, 3.08, Large Load, 2.94
[18-11-23 15:14:46 59.931282] , alkaline, Small Load, 3.08, Large Load, 2.93
