[18-11-23 14:52:22 59.993601] , CarbZinc, Small Load, 3.22, Large Load, 3.02
[18-11-23 14:53:22 59.992368] , CarbZinc, Small Load, 3.21, Large Load, 3.00
[18-11-23 14:54:22 59.992835] , CarbZinc, Small Load, 3.21, Large Load, 2.98
[18-11-23 14:55:22 59.993702] , CarbZinc, Small Load, 3.21, Large Load, 2.97
[18-11-23 14:56:22 59.992986] , CarbZinc, Small Load, 3.20, Large Load, 2.95
[18-11-23 14:57:22 59.993156] , CarbZinc, Small Load, 3.20, Large Load, 2.95
[18-11-23 14:58:22 59.994364] , CarbZinc, Small Load, 3.20, Large Load, 2.94
[18-11-23 14:59:22 59.993170] , CarbZinc, Small Load, 3.20, Large Load, 2.93
[18-11-23 15:00:22 59.993226] , CarbZinc, Small Load, 3.19, Large Load, 2.92
[18-11-23 15:01:22 59.994527] , CarbZinc, Small Load, 3.19, Large Load, 2.91
[18-11-23 15:02:22 59.993379] , CarbZinc, Small Load, 3.19, Large Load, 2.90
[18-11-23 15:03:22 59.993340] , CarbZinc, Small Load, 3.19, Large Load, 2.90
[18-11-23 15:04:22 59.994696] , CarbZinc, Small Load, 3.19, Large Load, 2.89
[18-11-23 15:05:22 59.993454] , CarbZinc, Small Load, 3.18, Large Load, 2.88
[18-11-23 15:06:22 59.993568] , CarbZinc, Small Load, 3.18, Large Load, 2.88
[18-11-23 15:07:22 59.994509] , CarbZinc, Small Load, 3.18, Large Load, 2.87
[18-11-23 15:08:22 59.994753] , CarbZinc, Small Load, 3.18, Large Load, 2.87
[18-11-23 15:09:22 59.993560] , CarbZinc, Small Load, 3.18, Large Load, 2.86
[18-11-23 15:10:22 59.993717] , CarbZinc, Small Load, 3.18, Large Load, 2.86
[18-11-23 15:11:22 59.994624] , CarbZinc, Small Load, 3.18, Large Load, 2.85
[18-11-23 15:12:22 59.992574] , CarbZinc, Small Load, 3.18, Large Load, 2.85
[18-11-23 15:13:22 59.994727] , CarbZinc, Small Load, 3.17, Large Load, 2.84
[18-11-23 15:14:22 59.994603] , CarbZinc, Small Load, 3.17, Large Load, 2.84
[18-11-23 15:15:22 59.992616] , CarbZinc, Small Load, 3.17, Large Load, 2.83
