[18-11-23 14:52:42 59.973510] , Lithium, Small Load, 3.44, Large Load, 3.09
[18-11-23 14:53:42 59.972782] , Lithium, Small Load, 3.41, Large Load, 3.04
[18-11-23 14:54:42 59.972636] , Lithium, Small Load, 3.39, Large Load, 3.03
[18-11-23 14:55:42 59.974037] , Lithium, Small Load, 3.37, Large Load, 3.02
[18-11-23 14:56:42 59.972986] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 14:57:42 59.973212] , Lithium, Small Load, 3.34, Large Load, 3.01
[18-11-23 14:58:42 59.974334] , Lithium, Small Load, 3.34, Large Load, 3.01
[18-11-23 14:59:42 59.973409] , Lithium, Small Load, 3.33, Large Load, 3.01
[18-11-23 15:00:42 59.973467] , Lithium, Small Load, 3.32, Large Load, 3.01
[18-11-23 15:01:42 59.974639] , Lithium, Small Load, 3.32, Large Load, 3.01
[18-11-23 15:02:42 59.973612] , Lithium, Small Load, 3.32, Large Load, 3.01
[18-11-23 15:03:42 59.973328] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:04:42 59.974850] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:05:42 59.973397] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:06:42 59.973681] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:07:41 59.974678] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:08:41 59.974665] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:09:41 59.973888] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:10:41 59.973692] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:11:41 59.974633] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:12:41 59.972702] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:13:41 59.974756] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:14:41 59.974927] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:15:41 59.972738] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:16:41 59.975013] , Lithium, Small Load, 3.31, Large Load, 3.01
[18-11-23 15:17:41 59.974712] , Lithium, Small Load, 3.31, Large Load, 3.02
[18-11-23 15:18:41 59.972794] , Lithium, Small Load, 3.31, Large Load, 3.02
[18-11-23 15:19:41 59.974752] , Lithium, Small Load, 3.31, Large Load, 3.02
[18-11-23 15:20:41 59.974828] , Lithium, Small Load, 3.31, Large Load, 3.02
[18-11-23 15:21:41 59.972728] , Lithium, Small Load, 3.31, Large Load, 3.02
[18-11-23 15:22:41 59.974858] , Lithium, Small Load, 3.31, Large Load, 3.02
[18-11-23 15:23:41 59.974781] , Lithium, Small Load, 3.31, Large Load, 3.02
[18-11-23 15:24:41 59.973868] , Lithium, Small Load, 3.31, Large Load, 3.02
[18-11-23 15:25:41 59.973985] , Lithium, Small Load, 3.31, Large Load, 3.02
[18-11-23 15:26:41 59.930851] , Lithium, Small Load, 3.31, Large Load, 3.02
[18-11-23 15:27:41 59.926644] , Lithium, Small Load, 3.32, Large Load, 3.02
[18-11-23 15:28:41 59.941679] , Lithium, Small Load, 3.32, Large Load, 3.02
[18-11-23 15:29:41 59.951436] , Lithium, Small Load, 3.32, Large Load, 3.02
[18-11-23 15:30:41 59.955991] , Lithium, Small Load, 3.32, Large Load, 3.02
[18-11-23 15:31:41 59.959370] , Lithium, Small Load, 3.32, Large Load, 3.02
[18-11-23 15:32:41 59.962240] , Lithium, Small Load, 3.32, Large Load, 3.02
[18-11-23 15:33:41 59.962772] , Lithium, Small Load, 3.32, Large Load, 3.02
[18-11-23 15:34:41 59.968195] , Lithium, Small Load, 3.33, Large Load, 3.02
[18-11-23 15:35:41 59.989514] , Lithium, Small Load, 3.33, Large Load, 3.01
[18-11-23 15:36:41 59.980785] , Lithium, Small Load, 3.33, Large Load, 3.01
[18-11-23 15:37:41 59.975978] , Lithium, Small Load, 3.33, Large Load, 3.01
[18-11-23 15:38:41 59.973995] , Lithium, Small Load, 3.33, Large Load, 3.01
[18-11-23 15:39:40 59.970939] , Lithium, Small Load, 3.33, Large Load, 3.01
[18-11-23 15:40:40 59.971034] , Lithium, Small Load, 3.33, Large Load, 3.01
[18-11-23 15:41:40 59.969225] , Lithium, Small Load, 3.33, Large Load, 3.01
[18-11-23 15:42:40 59.969063] , Lithium, Small Load, 3.33, Large Load, 3.01
[18-11-23 15:43:40 59.974505] , Lithium, Small Load, 3.33, Large Load, 3.01
[18-11-23 15:44:40 59.975285] , Lithium, Small Load, 3.33, Large Load, 3.01
[18-11-23 15:45:40 59.973837] , Lithium, Small Load, 3.34, Large Load, 3.01
[18-11-23 15:46:40 59.974205] , Lithium, Small Load, 3.34, Large Load, 3.01
[18-11-23 15:47:40 59.972394] , Lithium, Small Load, 3.34, Large Load, 3.01
[18-11-23 15:48:40 59.971885] , Lithium, Small Load, 3.34, Large Load, 3.01
[18-11-23 15:49:40 59.972415] , Lithium, Small Load, 3.34, Large Load, 3.01
[18-11-23 15:50:40 59.971111] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 15:51:40 59.970336] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 15:52:40 59.971430] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 15:53:40 59.970267] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 15:54:40 59.970097] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 15:55:40 59.970868] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 15:56:40 59.970957] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 15:57:40 59.969994] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 15:58:40 59.969625] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 15:59:40 59.971058] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:00:40 59.975268] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:01:40 59.981868] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:02:40 59.979899] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:03:40 59.976200] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:04:40 59.977010] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:05:40 59.975967] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:06:40 59.973317] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:07:40 59.974362] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:08:40 59.973949] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:09:40 59.971561] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:10:40 59.973491] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:11:40 59.972973] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:12:40 59.971776] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:13:40 59.971637] , Lithium, Small Load, 3.34, Large Load, 3.02
[18-11-23 16:14:40 59.972592] , Lithium, Small Load, 3.34, Large Load, 3.01
[18-11-23 16:15:40 59.971328] , Lithium, Small Load, 3.34, Large Load, 3.01
[18-11-23 16:16:39 59.971328] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 16:17:39 59.973683] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 16:18:39 59.973947] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 16:19:39 59.973606] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 16:20:39 59.974326] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 16:21:39 59.973205] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 16:22:39 59.972971] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 16:23:39 59.973688] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 16:24:39 59.972656] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 16:25:39 59.972057] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 16:26:39 59.973077] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 16:27:39 59.972020] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:28:39 59.972829] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 16:29:39 59.971567] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:30:39 59.971539] , Lithium, Small Load, 3.35, Large Load, 3.02
