[18-11-23 14:52:31 59.940442] , NiMH, Small Load, 2.82, Large Load, 2.76
[18-11-23 14:53:31 59.941885] , NiMH, Small Load, 2.82, Large Load, 2.76
[18-11-23 14:54:31 59.940875] , NiMH, Small Load, 2.82, Large Load, 2.76
[18-11-23 14:55:31 59.940945] , NiMH, Small Load, 2.82, Large Load, 2.75
[18-11-23 14:56:31 59.942131] , NiMH, Small Load, 2.82, Large Load, 2.75
[18-11-23 14:57:31 59.941290] , NiMH, Small Load, 2.82, Large Load, 2.74
[18-11-23 14:58:31 59.941148] , NiMH, Small Load, 2.81, Large Load, 2.74
[18-11-23 14:59:31 59.942399] , NiMH, Small Load, 2.81, Large Load, 2.74
[18-11-23 15:00:31 59.941604] , NiMH, Small Load, 2.81, Large Load, 2.73
[18-11-23 15:01:31 59.941853] , NiMH, Small Load, 2.81, Large Load, 2.73
[18-11-23 15:02:31 59.942547] , NiMH, Small Load, 2.81, Large Load, 2.73
[18-11-23 15:03:31 59.941692] , NiMH, Small Load, 2.81, Large Load, 2.73
[18-11-23 15:04:31 59.942442] , NiMH, Small Load, 2.81, Large Load, 2.72
[18-11-23 15:05:31 59.941713] , NiMH, Small Load, 2.81, Large Load, 2.72
[18-11-23 15:06:30 59.941625] , NiMH, Small Load, 2.81, Large Load, 2.72
[18-11-23 15:07:30 59.942640] , NiMH, Small Load, 2.81, Large Load, 2.72
[18-11-23 15:08:30 59.941758] , NiMH, Small Load, 2.81, Large Load, 2.71
[18-11-23 15:09:30 59.941798] , NiMH, Small Load, 2.81, Large Load, 2.71
[18-11-23 15:10:30 59.942558] , NiMH, Small Load, 2.81, Large Load, 2.71
[18-11-23 15:11:30 59.941935] , NiMH, Small Load, 2.81, Large Load, 2.71
[18-11-23 15:12:30 59.941513] , NiMH, Small Load, 2.81, Large Load, 2.71
[18-11-23 15:13:30 59.942665] , NiMH, Small Load, 2.81, Large Load, 2.70
[18-11-23 15:14:30 59.941788] , NiMH, Small Load, 2.81, Large Load, 2.70
[18-11-23 15:15:30 59.941897] , NiMH, Small Load, 2.80, Large Load, 2.70
[18-11-23 15:16:30 59.942622] , NiMH, Small Load, 2.80, Large Load, 2.70
[18-11-23 15:17:30 59.941816] , NiMH, Small Load, 2.80, Large Load, 2.70
[18-11-23 15:18:30 59.941854] , NiMH, Small Load, 2.80, Large Load, 2.70
[18-11-23 15:19:30 59.942738] , NiMH, Small Load, 2.80, Large Load, 2.70
[18-11-23 15:20:30 59.942739] , NiMH, Small Load, 2.80, Large Load, 2.70
[18-11-23 15:21:30 59.941709] , NiMH, Small Load, 2.80, Large Load, 2.69
[18-11-23 15:22:30 59.941818] , NiMH, Small Load, 2.80, Large Load, 2.69
[18-11-23 15:23:30 59.942658] , NiMH, Small Load, 2.80, Large Load, 2.69
[18-11-23 15:24:29 59.940677] , NiMH, Small Load, 2.80, Large Load, 2.69
[18-11-23 15:25:29 59.942881] , NiMH, Small Load, 2.80, Large Load, 2.69
[18-11-23 15:26:29 59.909531] , NiMH, Small Load, 2.80, Large Load, 2.69
[18-11-23 15:27:29 59.890792] , NiMH, Small Load, 2.80, Large Load, 2.68
[18-11-23 15:28:29 59.908242] , NiMH, Small Load, 2.80, Large Load, 2.68
[18-11-23 15:29:29 59.917988] , NiMH, Small Load, 2.80, Large Load, 2.68
[18-11-23 15:30:29 59.921996] , NiMH, Small Load, 2.80, Large Load, 2.68
[18-11-23 15:31:29 59.927859] , NiMH, Small Load, 2.80, Large Load, 2.68
[18-11-23 15:32:29 59.930211] , NiMH, Small Load, 2.80, Large Load, 2.68
[18-11-23 15:33:29 59.929520] , NiMH, Small Load, 2.80, Large Load, 2.67
[18-11-23 15:34:29 59.932303] , NiMH, Small Load, 2.80, Large Load, 2.67
[18-11-23 15:35:29 59.958184] , NiMH, Small Load, 2.80, Large Load, 2.67
[18-11-23 15:36:29 59.949982] , NiMH, Small Load, 2.80, Large Load, 2.67
[18-11-23 15:37:29 59.944818] , NiMH, Small Load, 2.80, Large Load, 2.67
[18-11-23 15:38:28 59.942436] , NiMH, Small Load, 2.79, Large Load, 2.67
[18-11-23 15:39:28 59.939582] , NiMH, Small Load, 2.79, Large Load, 2.67
[18-11-23 15:40:28 59.938302] , NiMH, Small Load, 2.79, Large Load, 2.66
[18-11-23 15:41:28 59.938697] , NiMH, Small Load, 2.79, Large Load, 2.66
[18-11-23 15:42:28 59.937192] , NiMH, Small Load, 2.79, Large Load, 2.66
[18-11-23 15:43:28 59.939709] , NiMH, Small Load, 2.79, Large Load, 2.66
[18-11-23 15:44:28 59.944827] , NiMH, Small Load, 2.79, Large Load, 2.66
[18-11-23 15:45:28 59.942057] , NiMH, Small Load, 2.79, Large Load, 2.66
[18-11-23 15:46:28 59.941374] , NiMH, Small Load, 2.79, Large Load, 2.66
[18-11-23 15:47:28 59.941465] , NiMH, Small Load, 2.79, Large Load, 2.65
[18-11-23 15:48:28 59.939748] , NiMH, Small Load, 2.79, Large Load, 2.65
[18-11-23 15:49:28 59.939288] , NiMH, Small Load, 2.79, Large Load, 2.65
[18-11-23 15:50:28 59.940006] , NiMH, Small Load, 2.79, Large Load, 2.65
[18-11-23 15:51:28 59.938745] , NiMH, Small Load, 2.79, Large Load, 2.65
[18-11-23 15:52:28 59.939167] , NiMH, Small Load, 2.79, Large Load, 2.65
[18-11-23 15:53:28 59.938105] , NiMH, Small Load, 2.79, Large Load, 2.65
[18-11-23 15:54:27 59.937914] , NiMH, Small Load, 2.79, Large Load, 2.64
[18-11-23 15:55:27 59.938961] , NiMH, Small Load, 2.79, Large Load, 2.64
[18-11-23 15:56:27 59.937836] , NiMH, Small Load, 2.79, Large Load, 2.64
[18-11-23 15:57:27 59.937882] , NiMH, Small Load, 2.79, Large Load, 2.64
[18-11-23 15:58:27 59.938528] , NiMH, Small Load, 2.79, Large Load, 2.64
[18-11-23 15:59:27 59.937717] , NiMH, Small Load, 2.79, Large Load, 2.64
[18-11-23 16:00:27 59.941601] , NiMH, Small Load, 2.79, Large Load, 2.64
[18-11-23 16:01:27 59.950223] , NiMH, Small Load, 2.79, Large Load, 2.64
[18-11-23 16:02:27 59.947159] , NiMH, Small Load, 2.79, Large Load, 2.64
[18-11-23 16:03:27 59.945308] , NiMH, Small Load, 2.79, Large Load, 2.63
[18-11-23 16:04:27 59.945136] , NiMH, Small Load, 2.79, Large Load, 2.63
[18-11-23 16:05:27 59.942939] , NiMH, Small Load, 2.78, Large Load, 2.63
